ID,Título Serie o Película,Duración,Género,Calificación,Fecha,ID Episodio,Título Episodio,Temporada,Episodio
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.9,2011–,tt4283094,The Winds of Winter,6,10
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.6,2011–,tt5654088,Dragonstone,7,1
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.9,2011–,tt5655178,Stormborn,7,2
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.2,2011–,tt5775840,The Queen's Justice,7,3
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.8,2011–,tt5775846,The Spoils of War,7,4
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.8,2011–,tt5775854,Eastwatch,7,5
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.0,2011–,tt5775864,Beyond the Wall,7,6
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.4,2011–,tt5775874,The Dragon and the Wolf,7,7
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",7.6,2011–,tt5924366,Winterfell,8,1
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",7.9,2011–,tt6027908,A Knight of the Seven Kingdoms,8,2
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",7.5,2011–,tt6027912,The Long Night,8,3
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",5.5,2011–,tt6027914,The Last of the Starks,8,4
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",6.0,2011–,tt6027916,The Bells,8,5
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",4.1,2011–,tt6027920,The Iron Throne,8,6
tt0082198,Conan the Barbarian,129 min,"Action, Adventure, Fantasy",6.9,1982,,,,
tt0126029,Shrek,90 min,"Animation, Adventure, Comedy, Family, Fantasy",7.8,2001,,,,
tt0082406,The Fox and the Hound,83 min,"Animation, Adventure, Drama, Family",7.3,1981,,,,
tt1279935,Date Night,88 min,"Comedy, Crime, Romance, Thriller",6.3,2010,,,,
tt1228705,Iron Man 2,124 min,"Action, Adventure, Sci-Fi",7.0,2010,,,,
tt0108358,Tombstone,130 min,"Action, Biography, Drama, History, Western",7.8,1993,,,,
tt2494362,Bone Tomahawk,132 min,"Drama, Horror, Western",7.1,2015,,,,
tt0096487,Young Guns,107 min,"Action, Western",6.9,1988,,,,
tt0437086,Alita: Battle Angel,122 min,"Action, Adventure, Sci-Fi, Thriller",7.3,2019,,,,
tt0137523,Fight Club,139 min,Drama,8.8,1999,,,,
tt0209958,The Cell,107 min,"Horror, Sci-Fi, Thriller",6.3,2000,,,,
tt1139668,The Unborn,88 min,"Drama, Horror, Mystery, Thriller",4.8,2009,,,,
tt0071222,Black Christmas,98 min,"Horror, Mystery, Thriller",7.2,1974,,,,
tt1488555,The Change-Up,112 min,"Comedy, Fantasy",6.3,2011,,,,
tt0104691,The Last of the Mohicans,112 min,"Action, Adventure, Drama, Romance, War",7.7,1992,,,,
tt1130884,Shutter Island,138 min,"Mystery, Thriller",8.1,2010,,,,
tt0122690,Ronin,122 min,"Action, Crime, Thriller",7.3,1998,,,,
tt0107818,Philadelphia,125 min,Drama,7.7,1993,,,,
tt0082158,Chariots of Fire,125 min,"Biography, Drama, Sport",7.2,1981,,,,
tt0118113,Walking and Talking,86 min,"Comedy, Drama, Romance",6.7,1996,,,,
tt0351977,Walking Tall,86 min,"Action, Crime",6.3,2004,,,,
tt0405422,The 40-Year-Old Virgin,116 min,"Comedy, Romance",7.1,2005,,,,
tt0086393,Superman III,125 min,"Action, Adventure, Comedy, Sci-Fi",5.0,1983,,,,
tt1778108,The Hour,60 min,Drama,7.9,2011–2012,tt1780585,Pilot,1,1
tt1778108,The Hour,60 min,Drama,8.0,2011–2012,tt1822069,Episode #1.2,1,2
tt1778108,The Hour,60 min,Drama,8.1,2011–2012,tt1822071,Episode #1.4,1,4
tt1778108,The Hour,60 min,Drama,8.3,2011–2012,tt1822072,Episode #1.5,1,5
tt1778108,The Hour,60 min,Drama,8.7,2011–2012,tt1822073,Episode #1.6,1,6
tt1778108,The Hour,60 min,Drama,8.3,2011–2012,tt2223419,Episode #2.1,2,1
tt1778108,The Hour,60 min,Drama,8.4,2011–2012,tt2223421,Episode #2.2,2,2
tt1778108,The Hour,60 min,Drama,8.5,2011–2012,tt2223423,Episode #2.3,2,3
tt1778108,The Hour,60 min,Drama,8.5,2011–2012,tt2223425,Episode #2.4,2,4
tt1778108,The Hour,60 min,Drama,8.6,2011–2012,tt2223427,Episode #2.5,2,5
tt1778108,The Hour,60 min,Drama,8.7,2011–2012,tt2223429,Episode #2.6,2,6
tt0274812,Secretary,107 min,"Comedy, Drama, Romance",7.0,2002,,,,
tt1028576,Secretariat,123 min,"Biography, Drama, Family, History, Sport",7.2,2010,,,,
tt0100405,Pretty Woman,119 min,"Comedy, Romance",7.0,1990,,,,
tt0108160,Sleepless in Seattle,105 min,"Comedy, Drama, Romance",6.8,1993,,,,
tt0020030,The Iron Mask,95 min,"Adventure, Drama, History, Romance",7.5,1929,,,,
tt0092345,DuckTales,23 min,"Animation, Adventure, Comedy, Family",8.1,1987–1990,tt0756856,Treasure of the Golden Suns: Don't Give Up the Ship,1,1
tt0092345,DuckTales,23 min,"Animation, Adventure, Comedy, Family",8.1,1987–1990,tt1052609,Treasure of the Golden Suns: Three Ducks of the Condor,1,3
tt0092345,DuckTales,23 min,"Animation, Adventure, Comedy, Family",7.3,1987–1990,tt1008179,Luck o' the Ducks,1,7
